theta_0,theta_1,distances,
0.000714296, 0.0974916, 293.246, 
0.00100574, 0.0943246, 238.79, 
0.000270347, 0.0116103, 281.127, 
0.0016888, 0.0412157, 71.8582, 
0.00171492, 0.0668617, 51.4731, 
0.0018398, 0.148334, 203.927, 
0.000718262, 0.108488, 294.964, 
0.00111692, 0.169521, 297.111, 
0.0016766, 0.0948444, 102.279, 
0.0013575, 0.0946612, 163.094, 
0.000796008, 0.179018, 314.758, 
0.000366815, 0.13547, 319.007, 
0.00275945, 0.0298669, 99.8185, 
0.00242984, 0.127648, 78.3811, 
0.000968529, 0.183428, 304.885, 
0.00134823, 0.120954, 227.98, 
0.0026687, 0.0355316, 89.8547, 
0.00260263, 0.0202765, 121.663, 
0.00156161, 0.134351, 221.319, 
0.00297133, 0.120138, 53.9006, 
0.00135559, 0.0530098, 77.8511, 
0.00294219, 0.139864, 51.8873, 
0.00131128, 0.0297464, 95.1101, 
0.0026284, 0.0753519, 59.847, 
0.00275168, 0.111225, 47.8394, 
0.000185703, 0.116693, 323.51, 
0.00161868, 0.0614392, 56.4457, 
0.00104566, 0.0992316, 248.116, 
0.00163813, 0.0892839, 92.0434, 
9.32948e-05, 0.0687619, 324.1, 
0.000828105, 0.0735832, 241.131, 
0.0021797, 0.110789, 80.2069, 
0.00253277, 0.101382, 44.3771, 
0.00295208, 0.0771728, 73.3819, 
0.00192334, 0.115561, 114.496, 
0.000156811, 0.118821, 323.385, 
0.000499959, 0.164796, 319.034, 
0.00142615, 0.0703312, 81.6027, 
0.00220604, 0.034126, 84.7842, 
0.0010572, 0.00870326, 210.064, 
0.0024853, 0.0104066, 182.266, 
0.00198538, 0.0866227, 47.987, 
0.000612526, 0.0825803, 291.722, 
0.000661385, 0.0226535, 174.039, 
0.00163875, 0.180789, 265.197, 
0.00276517, 0.0446275, 82.6727, 
0.00084936, 0.0996551, 278.845, 
0.00123403, 0.0700349, 141.395, 
0.000488714, 0.0386855, 253.19, 
0.00119046, 0.0724179, 158.175, 
0.00123348, 0.179384, 298.517, 
0.000274873, 0.121639, 321.083, 
0.000662197, 0.0398055, 199.547, 
